pair_index,seed,heisenberg_best_loss,heisenberg_best_iteration,heisenberg_final_loss,heisenberg_success,warmstart_best_loss,warmstart_best_iteration,warmstart_final_loss,warmstart_success,mixed_stage_best_loss,mixed_stage_best_iteration
1,1042,25.089711207255526,147,25.789999206421527,False,17.442262795758392,135,17.455838867217103,False,2.805838930739748,149
2,1043,28.44510847090474,125,28.602326847613618,False,0.005167250449125452,58,0.04515683651658489,True,0.0048039235724398445,147
3,1044,33.33135955558548,122,33.67185971476031,False,0.0005989471335882921,76,0.026926035522279786,True,0.00030392938643145095,150
4,1045,12.982217526925144,136,13.222786705097061,False,0.0002954169470654501,139,0.0006869840706682936,True,0.0011847373105274145,145
5,1046,34.25416270785702,139,34.34365316727758,False,0.0029948644295837764,75,0.022036109887912294,True,0.0001594660091299923,133
6,1047,17.3886277213084,137,18.073974057519532,False,0.0010746108959153403,69,0.04496975740522489,True,6.474812334274191e-05,123
7,1048,12.959744909707275,147,13.117750053548523,False,0.0044766762365043514,72,0.063600655362014,True,9.637449150431823e-05,133
8,1049,36.26282015553788,78,36.410437142208536,False,0.04120154214451381,64,0.14781951661466639,False,0.0005364162658864967,147
9,1050,34.15999038174481,94,34.20084838531126,False,0.011961705539032171,103,0.04736150553479849,False,0.0016863099706190857,150
10,1051,15.586743691159416,103,16.002253398085987,False,0.010232146174991059,69,0.024766795539358878,False,0.001459565226168334,150
11,1052,26.862927813775713,133,27.360281803976644,False,0.00018358199211314992,123,0.006441767584593243,True,0.14020690244296924,146
12,1053,28.88580054996011,123,29.365941830536897,False,0.03358894357859846,46,0.1329968329619373,False,0.00017020658831115948,129
13,1054,28.268180922533745,93,28.529595692902937,False,0.028072891590306927,58,0.09593280923859682,False,0.00013093329437093663,150
14,1055,38.181981606674356,139,38.34730942156396,False,17.389924694326773,145,17.97826330072632,False,2.7988309182806663,150
15,1056,28.594164989653848,149,28.78183993173,False,0.026279698299140557,50,0.12856181970245184,False,0.0001742360867410077,150
16,1057,37.72248634736024,119,37.76211400299198,False,21.34278268009848,95,21.390053190762444,False,2.847042037141661,150
17,1058,20.082315094208397,150,20.082315094208397,False,0.013286231380688705,81,0.030075399801514774,False,0.00022640231920687665,143
18,1059,32.31340089992443,146,32.55006379755046,False,0.025395056612806097,122,0.050456678311919745,False,0.00022452761319804177,126
19,1060,28.816596088927476,131,28.930672807529866,False,0.0035790977800759403,142,0.00905994672869812,True,0.0031106821367495457,150
20,1061,28.035131152766,150,28.035131152766,False,0.0025791326924527016,128,0.009326946639925537,True,0.0004703219886457708,150
21,1062,8.588245912197756,129,9.624393763511174,False,0.003107712053385218,98,0.042466144077469944,True,8.958719883783264e-05,150
22,1063,32.07092388759478,138,32.188869258392415,False,0.0006690421964487832,106,0.035317905536021155,True,0.0004932876353315065,150
23,1064,36.02636336387767,136,36.0818209315725,False,17.40461090431075,147,17.51472778936406,False,2.832739522354732,150
24,1065,34.22669615501566,145,34.43786692638835,False,0.027394941277035935,48,0.06086243789972216,False,6.546735043462837e-05,150
25,1066,38.526177919060856,101,38.688137535915715,False,0.011666207410239311,61,0.03352511573709009,False,0.00013818224611846465,149
26,1067,33.05153097605028,128,33.27772202790497,False,0.00189830944228593,65,0.03869955984312502,True,5.4531376483706146e-05,148
27,1068,28.072444352129118,144,28.458591692898885,False,0.016805185140545353,92,0.022472755348888773,False,0.08109914317108635,147
28,1069,38.37695159828624,126,38.64620172217657,False,0.0007847451068864631,75,0.09424452267421063,True,0.00014566748038488596,129
29,1070,40.586511336509794,149,40.79493329047601,False,0.0019552131131744905,122,0.004603314032608265,True,7.452809698978796e-05,116
30,1071,0.30343055757093607,150,0.30343055757093607,False,0.022804549083610404,53,0.0896699523463871,False,0.0003693608385340805,150
31,1072,32.21362830693005,146,32.33833170304503,False,0.014699589133476514,61,0.04995601327146995,False,0.00016603665240276478,141
32,1073,8.56579503083205,150,8.56579503083205,False,0.002768737253021586,94,0.04313910490587669,True,0.00039551985066015375,122
33,1074,38.12483649285642,110,38.21989053195198,False,21.343569322544212,132,21.54769736892421,False,2.8338582442902984,150
34,1075,26.29333220099229,79,26.475380960289044,False,0.029167926204730014,61,0.07582661454048512,False,0.0019124236067629787,150
35,1076,23.486904412146515,141,23.509902847797807,False,0.028095332409047755,53,0.08602218889414641,False,0.0001176858914581208,137
36,1077,0.01298865630695953,150,0.01298865630695953,False,0.008057053065677966,108,0.03152282996547478,True,0.07467167209650874,150
37,1078,33.43464538937476,104,33.938001765870354,False,0.0041220780487398155,65,0.3471718443887799,True,0.00020732190096807104,147
38,1079,15.859597843896802,122,16.441281729472298,False,0.8588728241235037,150,0.8588728241235037,False,0.07889123455173415,150
39,1080,34.14521892229503,134,34.375317651451105,False,0.0034603251389367226,84,0.009087805312563965,True,0.0004098835005161952,150
40,1081,34.67097721458396,142,34.77555299315967,False,0.008920745564956884,93,0.05153150621256852,True,0.00017003883256147754,129
41,1082,14.151809548324536,143,14.266433452698807,False,0.0025374173615611167,150,0.0025374173615611167,True,0.00012070393825151153,150
42,1083,31.411994131126107,146,31.483138422671992,False,0.0010038437381776424,131,0.0030619536482018187,True,0.0002161815218816122,148
43,1084,21.689610933467314,137,21.824394831122774,False,0.0006581261055582511,70,0.03705778882973692,True,0.0002275361713061878,148
44,1085,37.51005775580941,132,37.8118981296773,False,0.000181219738519589,86,0.018574923690854978,True,7.757233511623989e-05,146
45,1086,20.375822918241237,136,20.53740921807802,False,0.014543428661105905,97,0.09375508025328161,False,0.00019860361738702927,144
46,1087,17.64382772679206,93,18.071845160522926,False,0.004799348175068374,64,0.04860720120954247,True,0.008544962210417487,150
47,1088,34.54055134150904,116,34.84202512813259,False,0.00043628247889836386,76,0.004988874449123878,True,0.00018446038846765914,129
48,1089,27.343278610691275,149,28.054314028232966,False,0.017118328409141924,92,0.04608233248810156,False,0.0003198610908865349,137
49,1090,8.191001203924397,148,8.213453630588038,False,0.018311609856753522,85,0.03053571641992031,False,0.0027532807752048013,149
50,1091,19.79540024519912,150,19.79540024519912,False,17.574501726447156,147,17.763376853370623,False,2.8052170173224784,150
51,1092,37.027277555344334,124,37.09665056697533,False,0.00893412402033354,145,0.023774121927861123,True,0.0008341769282929493,134
52,1093,0.0024603321503089016,97,0.19974253979322448,True,0.004046584905980418,118,0.0176888389752173,True,0.00020217841299577204,150
53,1094,32.890681851320466,110,33.56477070487886,False,0.0012071140516250645,73,0.014042575459662915,True,0.0010171388283539513,129
54,1095,17.71188282137767,142,17.793404150878704,False,0.014330188862898182,51,0.07998502973942967,False,0.0002726362699678531,150
55,1096,25.502678936955725,109,25.733771163867637,False,0.0018811773325470903,60,0.03665563908985634,True,0.0003797913518200315,150
56,1097,20.546394551846372,132,21.23491836864551,False,0.016967121786158935,104,0.0370150612298066,False,0.0004363583035644555,150
57,1098,37.12216740574952,135,37.166531212717175,False,0.01818553123023523,60,0.11170748586353554,False,5.8649804895409967e-05,140
58,1099,38.90968669874867,133,39.12648146035015,False,22.107680231326725,148,22.183522839944214,False,2.8060572259100605,150
59,1100,24.198052086362466,150,24.198052086362466,False,0.0021003159336702155,71,0.025681373160732116,True,0.00014776447887273987,150
60,1101,36.26745067425888,147,36.34218792949265,False,0.0018705442227154464,115,0.06775997315291879,True,3.1772732876525444e-05,145
61,1102,25.247950639239974,150,25.247950639239974,False,0.0010002911298401947,65,0.058811967314772576,True,0.0014280633772606837,150
62,1103,17.551251206100545,131,17.64763715930544,False,0.022772541872389817,61,0.03975894425231334,False,0.00018863439886198684,128
63,1104,24.1518716517973,146,24.54420052215422,False,0.010226627859380616,149,0.015562884921931548,False,0.00019884003747997462,140
64,1105,14.907107894965131,143,15.573179503742923,False,22.082819810618236,128,22.297925628657993,False,2.817867657288364,150
65,1106,31.020885194955923,135,31.411848006300303,False,0.015903482275767603,68,0.0292193469595652,False,0.0001381381991597716,149
66,1107,40.673285901391516,131,40.71902942732503,False,0.0018721218822339675,73,0.40204998744601406,True,0.0002257173097592701,146
67,1108,37.23219522577972,149,37.33593334568333,False,0.01823044577308311,86,0.06207745592248522,False,0.00018283668086516099,149
68,1109,30.763925315102586,150,30.763925315102586,False,0.009363279633915944,56,0.05450360171378626,True,0.00015180837301930215,150
69,1110,37.669571657618484,134,37.70752305750287,False,0.0015684962647844426,78,0.09065538596871933,True,0.0002752800047546055,130
70,1111,37.921917135839024,130,38.00681041145742,False,0.03574116391301134,68,0.1291210157094294,False,0.0010522573620943103,150
71,1112,13.564007330183115,149,13.726795288250774,False,0.0031239838665040984,71,0.15850735206943894,True,0.00013939254588653797,150
72,1113,29.62276870079593,109,30.07669726489013,False,0.022779309248561447,55,0.0824000437113005,False,0.0002348969728096694,150
73,1114,20.450530188245892,126,20.56665163785164,False,17.64170135357677,134,17.813767864420075,False,2.821933288544388,150
74,1115,19.987122571960093,97,20.071491209405686,False,0.02029065619324876,67,0.16065249445524415,False,4.539693100741561e-05,104
75,1116,24.429072920719335,126,24.599876643381357,False,0.007766557513301153,117,0.02736463282097295,True,0.00032834213079526505,150
76,1117,28.466641878562193,144,28.683505924153224,False,0.010520536392978607,58,0.08727967903093548,False,0.00044066862199233965,140
77,1118,31.515956913160608,123,31.677475386582255,False,0.0009733244524628889,89,0.03286884037354687,True,0.0006238243500972283,150
78,1119,29.15091720726958,150,29.15091720726958,False,0.002397904529823389,93,0.48299365410799755,True,4.224327917309155e-05,147
79,1120,28.453084829679298,150,28.453084829679298,False,0.00858323006841474,60,0.03946613687053646,True,0.00021883243341915394,150
80,1121,35.241088830475306,123,35.43104091924655,False,0.016684124031263972,70,0.4930884709067559,False,0.0001116027684582848,130
