qubit,pauli,target_expectation,sewing_expectation,signed_diff,abs_diff,target_cone_size,sewing_cone_size
0,X,-0.39072600980665995,-0.3695132221786024,0.02121278762805756,0.02121278762805756,4,10
0,Y,-0.6644698516758879,-0.6612520394481992,0.003217812227688688,0.003217812227688688,4,10
0,Z,0.5095550816848968,0.5223244041090728,0.012769322424175944,0.012769322424175944,4,10
1,X,0.0831142012525589,0.09300039416956016,0.009886192917001255,0.009886192917001255,4,10
1,Y,0.12684077311269085,0.12958021068719872,0.002739437574507869,0.002739437574507869,4,10
1,Z,0.8877242747866582,0.8855206980340766,-0.0022035767525815375,0.0022035767525815375,4,10
2,X,-0.18534863352356107,-0.16625327235089388,0.01909536117266719,0.01909536117266719,6,20
2,Y,-0.4974029294796623,-0.4821056356210288,0.015297293858633487,0.015297293858633487,6,20
2,Z,0.22841195654833318,0.2329628339407347,0.004550877392401509,0.004550877392401509,6,20
3,X,0.09884503424687635,0.0956039803577293,-0.0032410538891470553,0.0032410538891470553,6,20
3,Y,0.2108238808713149,0.20905886243849836,-0.0017650184328165397,0.0017650184328165397,6,20
3,Z,-0.5631561901900273,-0.5477851696605408,0.015371020529486468,0.015371020529486468,6,20
4,X,0.2781486282139329,0.37349214586503227,0.09534351765109939,0.09534351765109939,6,26
4,Y,0.491860789369734,0.4916579240527066,-0.00020286531702740085,0.00020286531702740085,6,26
4,Z,0.5015617876687483,0.4299418698765509,-0.07161991779219734,0.07161991779219734,6,26
5,X,-0.5944230136207482,-0.5832993618139184,0.011123651806829837,0.011123651806829837,6,26
5,Y,-0.6259434456078843,-0.6219615257104905,0.003981919897393826,0.003981919897393826,6,26
5,Z,0.32063146372518003,0.3213100936100338,0.0006786298848537875,0.0006786298848537875,6,26
6,X,0.23558194759655862,0.23270233081586417,-0.002879616780694455,0.002879616780694455,6,26
6,Y,0.30635218346156756,0.2975550077215746,-0.008797175739992946,0.008797175739992946,6,26
6,Z,0.8211357462400739,0.8187754250699718,-0.0023603211701020976,0.0023603211701020976,6,26
7,X,-0.06344912556928005,-0.08848655912942328,-0.025037433560143235,0.025037433560143235,6,26
7,Y,-0.7455864131408172,-0.7432224129741811,0.002364000166636071,0.002364000166636071,6,26
7,Z,0.45862470037594605,0.4369704245063854,-0.021654275869560646,0.021654275869560646,6,26
8,X,0.5597598955737747,0.540676181426535,-0.01908371414723975,0.01908371414723975,6,22
8,Y,0.5099862037614,0.5386595493506715,0.02867334558927148,0.02867334558927148,6,22
8,Z,0.43215829447555437,0.40680755053623163,-0.02535074393932274,0.02535074393932274,6,22
9,X,-0.40883686761483207,-0.3750421405786234,0.03379472703620867,0.03379472703620867,6,22
9,Y,-0.04233944968388658,-0.03308396439029204,0.009255485293594538,0.009255485293594538,6,22
9,Z,0.8033301015119738,0.8163342707656959,0.013004169253722053,0.013004169253722053,6,22
10,X,-0.061145327549516855,-0.07244732091692313,-0.011301993367406275,0.011301993367406275,6,22
10,Y,0.12941304478600976,0.12113285191085302,-0.008280192875156744,0.008280192875156744,6,22
10,Z,0.7208405868764869,0.7224606624799434,0.001620075603456561,0.001620075603456561,6,22
11,X,0.35260145981016233,0.34835850679157243,-0.004242953018589901,0.004242953018589901,6,22
11,Y,0.626724829516098,0.6226457208668332,-0.004079108649264751,0.004079108649264751,6,22
11,Z,0.30359789524026637,0.32926238799514795,0.025664492754881585,0.025664492754881585,6,22
12,X,0.005170775887542334,0.0053280722518851895,0.0001572963643428557,0.0001572963643428557,6,28
12,Y,-0.1446407144365351,-0.15337935767315794,-0.00873864323662285,0.00873864323662285,6,28
12,Z,0.635668538215147,0.5843113172245165,-0.05135722099063056,0.05135722099063056,6,28
13,X,-0.5129291557928188,-0.47563381506922486,0.03729534072359397,0.03729534072359397,6,28
13,Y,0.24046788831327792,0.2227635528276273,-0.01770433548565062,0.01770433548565062,6,28
13,Z,0.1707905232973022,0.0390879707775299,-0.1317025525197723,0.1317025525197723,6,28
14,X,0.059495304148644734,-0.021201143082455243,-0.08069644723109998,0.08069644723109998,6,28
14,Y,0.11302323523908436,0.11296175917048262,-6.147606860174015e-05,6.147606860174015e-05,6,28
14,Z,0.8038727337196213,0.8040132449984949,0.0001405112788736007,0.0001405112788736007,6,28
15,X,-0.37846128840704396,-0.38718988323972653,-0.008728594832682568,0.008728594832682568,6,28
15,Y,0.22067631648144453,0.2329572495548286,0.01228093307338407,0.01228093307338407,6,28
15,Z,0.7084894656651731,0.7201594559336043,0.011669990268431185,0.011669990268431185,6,28
16,X,-0.15764419636575067,-0.1317243281657094,0.025919868200041274,0.025919868200041274,6,22
16,Y,-0.4654865850831219,-0.4664122462084692,-0.0009256611253473102,0.0009256611253473102,6,22
16,Z,0.7998907704774038,0.814592297629922,0.014701527152518268,0.014701527152518268,6,22
17,X,-0.059709005853572195,-0.057994442659693946,0.001714563193878249,0.001714563193878249,6,22
17,Y,0.5829290795163086,0.5806427943932224,-0.0022862851230861514,0.0022862851230861514,6,22
17,Z,-0.37801506274240826,-0.3790176545878766,-0.0010025918454683591,0.0010025918454683591,6,22
18,X,0.09178888839970128,0.08199845262991753,-0.00979043576978375,0.00979043576978375,6,22
18,Y,-0.31447899387988515,-0.3167702544937961,-0.0022912606139109393,0.0022912606139109393,6,22
18,Z,-0.07500905691986226,-0.07397607048203675,0.0010329864378255116,0.0010329864378255116,6,22
19,X,0.1628103030742125,0.15077928970454868,-0.012031013369663807,0.012031013369663807,6,22
19,Y,-0.28019800250314886,-0.2692504195895955,0.010947582913553355,0.010947582913553355,6,22
19,Z,0.0244505639134891,0.03105336793578417,0.006602804022295072,0.006602804022295072,6,22
20,X,0.010591147304661572,0.05409150546684641,0.04350035816218484,0.04350035816218484,6,28
20,Y,-0.057896071351965145,-0.10517299139217337,-0.047276920040208226,0.047276920040208226,6,28
20,Z,0.5842366933044099,0.5004583568990584,-0.08377833640535148,0.08377833640535148,6,28
21,X,0.005812205431731388,-0.027117808709212897,-0.032930014140944285,0.032930014140944285,6,28
21,Y,0.2590723657944116,0.24622300948027823,-0.012849356314133392,0.012849356314133392,6,28
21,Z,0.7943666996126737,0.7727416709612084,-0.021625028651465317,0.021625028651465317,6,28
22,X,0.07920947385864473,0.06802539508374769,-0.011184078774897036,0.011184078774897036,6,28
22,Y,0.6541117401944835,0.6380264571408524,-0.016085283053631105,0.016085283053631105,6,28
22,Z,0.6856358135644038,0.6892200266846689,0.003584213120265023,0.003584213120265023,6,28
23,X,-0.6042014511829203,-0.589073256561816,0.015128194621104374,0.015128194621104374,6,28
23,Y,-0.3882916947739532,-0.39472724273782106,-0.00643554796386786,0.00643554796386786,6,28
23,Z,0.6034331636305036,0.5939800663245871,-0.00945309730591648,0.00945309730591648,6,28
24,X,-0.0028266875352836868,-0.008586417864254299,-0.005759730328970612,0.005759730328970612,6,22
24,Y,0.030986329394094597,0.058314020398274,0.0273276910041794,0.0273276910041794,6,22
24,Z,0.6187034716142473,0.6335257299920383,0.014822258377790942,0.014822258377790942,6,22
25,X,-0.4526294319965739,-0.4481748595559386,0.004454572440635296,0.004454572440635296,6,22
25,Y,0.1647446089761272,0.20445686748345349,0.03971225850732629,0.03971225850732629,6,22
