mode,total_count,success_count,success_rate,best_loss_min,best_loss_median,best_loss_mean,best_loss_max
edge_quantum_channel_superoperator_from_mix,1,0,0.0,10.752145829368803,10.752145829368803,10.752145829368803,10.752145829368803
edge_quantum_channel_superoperator_from_one,1,0,0.0,11.53289351447464,11.53289351447464,11.53289351447464,11.53289351447464
edge_quantum_channel_superoperator_from_zero,1,0,0.0,11.314261514735454,11.314261514735454,11.314261514735454,11.314261514735454
heisenberg_pauli,1,0,0.0,42.63705707843229,42.63705707843229,42.63705707843229,42.63705707843229
