qubit,pauli,target_expectation,sewing_expectation,signed_diff,abs_diff,target_cone_size,sewing_cone_size
0,X,-0.39072600980665995,-0.390733140050636,-7.130243976027906e-06,7.130243976027906e-06,4,10
0,Y,-0.6644698516758879,-0.6644625768688917,7.274806996249161e-06,7.274806996249161e-06,4,10
0,Z,0.5095550816848968,0.509557933805275,2.8521203782050364e-06,2.8521203782050364e-06,4,10
1,X,0.0831142012525589,0.08311017065593779,-4.030596621115712e-06,4.030596621115712e-06,4,10
1,Y,0.12684077311269085,0.1268436894011451,2.9162884542521805e-06,2.9162884542521805e-06,4,10
1,Z,0.8877242747866582,0.8877231181864977,-1.1566001604235154e-06,1.1566001604235154e-06,4,10
2,X,-0.18534863352356107,-0.18535157209783976,-2.9385742786880442e-06,2.9385742786880442e-06,6,20
2,Y,-0.4974029294796623,-0.49741496576189326,-1.2036282230953876e-05,1.2036282230953876e-05,6,20
2,Z,0.22841195654833318,0.22840980359292684,-2.152955406342638e-06,2.152955406342638e-06,6,20
3,X,0.09884503424687635,0.09885134461706278,6.310370186432546e-06,6.310370186432546e-06,6,20
3,Y,0.2108238808713149,0.21081890950038717,-4.9713709277254825e-06,4.9713709277254825e-06,6,20
3,Z,-0.5631561901900273,-0.56316901723538,-1.2827045352770128e-05,1.2827045352770128e-05,6,20
4,X,0.2781486282139329,0.2782918116968872,0.00014318348295433436,0.00014318348295433436,6,26
4,Y,0.491860789369734,0.4920136975073069,0.00015290813757290467,0.00015290813757290467,6,26
4,Z,0.5015617876687483,0.501606374360986,4.458669223772471e-05,4.458669223772471e-05,6,26
5,X,-0.5944230136207482,-0.5945018597144152,-7.884609366692885e-05,7.884609366692885e-05,6,26
5,Y,-0.6259434456078843,-0.6261921339922109,-0.0002486883843265675,0.0002486883843265675,6,26
5,Z,0.32063146372518003,0.32075775251095084,0.0001262887857708117,0.0001262887857708117,6,26
6,X,0.23558194759655862,0.2349287703779627,-0.0006531772185959239,0.0006531772185959239,6,26
6,Y,0.30635218346156756,0.30719229846618296,0.0008401150046153938,0.0008401150046153938,6,26
6,Z,0.8211357462400739,0.8210536982519001,-8.204798817379455e-05,8.204798817379455e-05,6,26
7,X,-0.06344912556928005,-0.06640802889206673,-0.002958903322786685,0.002958903322786685,6,26
7,Y,-0.7455864131408172,-0.7459442889647806,-0.000357875823963405,0.000357875823963405,6,26
7,Z,0.45862470037594605,0.4571564997122787,-0.001468200663667374,0.001468200663667374,6,26
8,X,0.5597598955737747,0.5629801455312944,0.003220249957519683,0.003220249957519683,6,22
8,Y,0.5099862037614,0.5105191773041459,0.0005329735427458404,0.0005329735427458404,6,22
8,Z,0.43215829447555437,0.4209179916150158,-0.011240302860538565,0.011240302860538565,6,22
9,X,-0.40883686761483207,-0.40495388244323666,0.00388298517159541,0.00388298517159541,6,22
9,Y,-0.04233944968388658,-0.02096209129465241,0.021377358389234172,0.021377358389234172,6,22
9,Z,0.8033301015119738,0.7983762276789708,-0.004953873833003053,0.004953873833003053,6,22
10,X,-0.061145327549516855,-0.061718251607823585,-0.0005729240583067299,0.0005729240583067299,6,22
10,Y,0.12941304478600976,0.12641960149395787,-0.002993443292051895,0.002993443292051895,6,22
10,Z,0.7208405868764869,0.7210397501096717,0.000199163233184807,0.000199163233184807,6,22
11,X,0.35260145981016233,0.3556637800846131,0.003062320274450747,0.003062320274450747,6,22
