mode,coordinate,mean,variance
heisenberg_pauli,1,0.8054783606326055,0.02487187464162186
heisenberg_pauli,2,-1.2984661470483159,0.11799647637845354
heisenberg_pauli,3,-0.5530037837431223,0.05299121417207954
heisenberg_pauli,4,-0.040902546238896775,0.20520230793380329
heisenberg_pauli,5,-0.9526248028635108,0.22833415301503512
heisenberg_pauli,6,0.023092366596699804,0.2686662230313406
heisenberg_pauli,7,-0.3531638942178006,0.0074618241217605675
heisenberg_pauli,8,0.15167702098750624,0.005387722960817571
heisenberg_pauli,9,-0.271995889278287,0.021105657473202748
heisenberg_pauli,10,0.05636083848514778,0.9687096675813702
heisenberg_pauli,11,0.07260661352148645,1.3313485388001223
heisenberg_pauli,12,-0.13371396185846157,1.2828936823844106
heisenberg_pauli,13,-1.1301983716904829,0.03293575646198184
heisenberg_pauli,14,1.3047232513940796,0.3309196343363884
heisenberg_pauli,15,0.2901434116964196,0.3874978901004685
heisenberg_pauli,16,0.5503338060819374,0.06816354670733449
heisenberg_pauli,17,0.44013625117855776,0.0025404683894447496
heisenberg_pauli,18,-0.20847965487291728,0.39445460388914194
heisenberg_pauli,19,0.3431842950263331,0.000894245124995742
heisenberg_pauli,20,0.2207690966926634,0.0007944135370954872
heisenberg_pauli,21,0.44588155727609546,0.0271945698291657
heisenberg_pauli,22,0.12452485194103247,0.021712328410837346
heisenberg_pauli,23,0.41628604581234174,1.0754358877835992
heisenberg_pauli,24,0.19564930155979707,0.02147295257429818
heisenberg_pauli,25,-0.3977982228065002,1.687293740941852
heisenberg_pauli,26,0.17262983504906504,1.418324129875748
heisenberg_pauli,27,-0.5515138944645058,1.4024241830574968
heisenberg_pauli,28,-0.3751278450536688,0.08188675508854795
heisenberg_pauli,29,0.9759934590292118,0.6056373594648399
heisenberg_pauli,30,0.6112832640070563,0.01993552887406333
heisenberg_pauli,31,0.8233630598653008,0.26786514042049164
heisenberg_pauli,32,0.3452099178957723,0.396237277432451
heisenberg_pauli,33,-0.8828101565327983,0.7688316091204771
heisenberg_pauli,34,0.26458490918201955,1.3980729087614436
heisenberg_pauli,35,0.3048627691626393,0.040597869759843364
heisenberg_pauli,36,0.020400542410925482,0.658341655331598
heisenberg_pauli,37,0.2689409646094986,1.3490686632009719
heisenberg_pauli,38,0.03930099108373497,2.4233359956258798
heisenberg_pauli,39,0.08462095308914291,0.8439882510001123
heisenberg_pauli,40,-0.3299381077681573,0.024956390847658966
heisenberg_pauli,41,-0.4944184857080813,0.039115429307068364
heisenberg_pauli,42,0.28127847393477623,0.04343164741621713
heisenberg_pauli,43,0.15687936638641986,0.007428179973875699
heisenberg_pauli,44,-0.4438928311145673,0.16225808487293686
heisenberg_pauli,45,-0.0683376036647587,0.08212502771228054
heisenberg_pauli,46,-0.49859829811538237,1.1037935279545148
heisenberg_pauli,47,-0.7835510032805358,1.7444455461164664e-06
heisenberg_pauli,48,0.8468488204016467,0.10919519907854976
heisenberg_pauli,49,-1.5326744968291448,0.03061247063493154
heisenberg_pauli,50,0.9244130326990784,0.0025286604904389957
heisenberg_pauli,51,1.2502591484775394,0.005720361752258347
heisenberg_pauli,52,0.15499425884968332,0.02992371454167953
heisenberg_pauli,53,0.36713806252919307,0.17439615866189168
heisenberg_pauli,54,0.02571488266767119,2.0576885162249258e-05
heisenberg_pauli,55,-0.18331418676353906,0.020493359679475655
heisenberg_pauli,56,0.13800410645359307,0.00010222287821167203
heisenberg_pauli,57,0.005415083315085653,0.02919322534628603
heisenberg_pauli,58,-0.7080398322756309,0.25993440160842174
heisenberg_pauli,59,-0.12554344017701174,1.214014679882873
heisenberg_pauli,60,0.34319659487636045,0.03866695710582135
edge_quantum_channel:superoperator_from_mix,1,0.1408595965202153,0.035659568982896524
edge_quantum_channel:superoperator_from_mix,2,-0.9343554394192211,0.02472889025290908
edge_quantum_channel:superoperator_from_mix,3,-0.041855259746981226,0.017396203455208776
edge_quantum_channel:superoperator_from_mix,4,-0.06536687586766732,0.02409998894368897
edge_quantum_channel:superoperator_from_mix,5,0.12147692451947023,0.039443889649179276
edge_quantum_channel:superoperator_from_mix,6,-0.14310461202704516,0.011492663668916039
edge_quantum_channel:superoperator_from_mix,7,0.2502664922410247,4.045887015112329e-05
edge_quantum_channel:superoperator_from_mix,8,0.19469861629595184,0.00013194517448596375
edge_quantum_channel:superoperator_from_mix,9,0.17996807910591883,0.013822746450522127
edge_quantum_channel:superoperator_from_mix,10,0.2550615978424986,0.11690306146865141
edge_quantum_channel:superoperator_from_mix,11,0.3046342968993087,0.003829509290720126
edge_quantum_channel:superoperator_from_mix,12,-0.08533105311236966,0.02830750923787793
edge_quantum_channel:superoperator_from_mix,13,-0.05155260880407297,0.0017282749475144956
edge_quantum_channel:superoperator_from_mix,14,-0.13977324782032952,8.424979608302297e-05
edge_quantum_channel:superoperator_from_mix,15,0.003037253959448094,0.00882567015104938
edge_quantum_channel:superoperator_from_mix,16,-0.2168216475695317,0.0021993011738843955
edge_quantum_channel:superoperator_from_mix,17,0.09036924755179143,0.0028761942856962304
edge_quantum_channel:superoperator_from_mix,18,-0.274602512462252,0.13705515282998507
edge_quantum_channel:superoperator_from_mix,19,0.131901697519865,0.07054402669919556
edge_quantum_channel:superoperator_from_mix,20,-0.019514828819566784,6.206507387670649e-05
edge_quantum_channel:superoperator_from_mix,21,-0.1251159809978475,0.01451040099565482
edge_quantum_channel:superoperator_from_mix,22,-0.040551745383865495,0.09921758438750512
edge_quantum_channel:superoperator_from_mix,23,-0.10935038421422402,0.0720153777214572
edge_quantum_channel:superoperator_from_mix,24,-0.2643859879025711,0.0260430875237219
edge_quantum_channel:superoperator_from_mix,25,0.12035618257577596,5.7073509854867975e-05
edge_quantum_channel:superoperator_from_mix,26,0.019952327301453472,0.011798027978457531
edge_quantum_channel:superoperator_from_mix,27,0.1128039803344194,6.718950892530279e-05
edge_quantum_channel:superoperator_from_mix,28,-0.0007031497606391213,0.11229350414038822
edge_quantum_channel:superoperator_from_mix,29,-0.4951611367154385,0.022801478515706464
edge_quantum_channel:superoperator_from_mix,30,-0.32867347012910386,0.0016011651416189933
edge_quantum_channel:superoperator_from_mix,31,-0.07630136891201292,0.19344656676185043
edge_quantum_channel:superoperator_from_mix,32,-0.13040445581147253,0.015733055106136217
edge_quantum_channel:superoperator_from_mix,33,-0.20968173739532858,0.00962580959751275
edge_quantum_channel:superoperator_from_mix,34,-0.43925819146473083,0.0035872101574098364
edge_quantum_channel:superoperator_from_mix,35,0.24182394549043804,0.06577202520759581
edge_quantum_channel:superoperator_from_mix,36,-0.2698093190645068,0.06867427089295998
edge_quantum_channel:superoperator_from_mix,37,-0.04685836341167259,0.0016029585689885115
edge_quantum_channel:superoperator_from_mix,38,-0.07892235140971592,0.008927264875720195
edge_quantum_channel:superoperator_from_mix,39,-0.07220241724503751,0.0014940126597096258
edge_quantum_channel:superoperator_from_mix,40,-0.28912122731483686,0.15913728910706076
edge_quantum_channel:superoperator_from_mix,41,0.40222538162382193,0.006071775984494172
edge_quantum_channel:superoperator_from_mix,42,0.03675968427430121,0.013269201863119744
edge_quantum_channel:superoperator_from_mix,43,-0.055277396127095806,0.003818635670150644
edge_quantum_channel:superoperator_from_mix,44,-0.203720248626027,0.009734813043730235
edge_quantum_channel:superoperator_from_mix,45,-0.07672738662201084,0.008202292553064585
edge_quantum_channel:superoperator_from_mix,46,0.06365320528445295,0.024634628604258742
edge_quantum_channel:superoperator_from_mix,47,-0.3834796864499168,0.022458413507835295
edge_quantum_channel:superoperator_from_mix,48,0.0015115669604881532,0.007942010832237516
edge_quantum_channel:superoperator_from_mix,49,-1.0670008371960193,0.003110857401411892
edge_quantum_channel:superoperator_from_mix,50,0.0018789611200276096,0.00040457926027960046
edge_quantum_channel:superoperator_from_mix,51,0.7666500154712708,0.017092840392986548
edge_quantum_channel:superoperator_from_mix,52,0.06129492895468046,0.020110089453658036
edge_quantum_channel:superoperator_from_mix,53,0.030082101742934242,0.0020688939178008067
edge_quantum_channel:superoperator_from_mix,54,0.06223197321908458,0.00018922990458268698
edge_quantum_channel:superoperator_from_mix,55,-0.08839018845741009,0.04262009884507513
edge_quantum_channel:superoperator_from_mix,56,0.0437298310895784,7.823903833115178e-05
edge_quantum_channel:superoperator_from_mix,57,0.016167863847726945,0.00020678185683591001
edge_quantum_channel:superoperator_from_mix,58,-0.24600506773886366,0.06707596362771792
edge_quantum_channel:superoperator_from_mix,59,-0.026808075270778886,0.010300265081340647
edge_quantum_channel:superoperator_from_mix,60,-0.0164100832922287,0.006373818420208676
